document_id,page_or_sheet,entity_name,bin,legal_address,bank_name,bik,account_number
DOC-101,Договор стр. 12,ТОО «Арман Құрылыс Лаб»,260101900111,г. Армантау ул. Проектная 10,АО «Банк Орбита»,ORBTKZ01,KZ100000000000000001
DOC-102,Акт стр. 4,ТОО Арман Курылыс Лаб,260101900111,г. Армантау ул. Проектная 10,АО «Банк Орбита»,ORBTKZ01,KZ100000000000000001
DOC-103,Счёт стр. 1,ТОО «Арман Құрылыс Лаб»,260101900111,г. Армантау ул. Проектная 10,АО «Банк Вектор»,VECRKZ02,KZ200000000000000099
DOC-104,Приложение 2,ТОО Арман Құрылыс Лаб,260101900111,г. Армантау пр. Созидателей 44,АО «Банк Орбита»,ORBTKZ01,KZ100000000000000001
DOC-201,Договор стр. 9,ТОО «Көкжиек Инжиниринг»,260202900222,г. Кокжиек ул. Макетная 7,АО «Банк Меридиан»,MRDNKZ03,KZ300000000000000002
DOC-202,Акт стр. 3,TOO Kokzhiek Engineering,260202900222,г. Кокжиек ул. Макетная 7,АО «Банк Меридиан»,MRDNKZ03,KZ300000000000000002
DOC-203,Счёт стр. 1,ТОО «Көкжиек Инжиниринг»,260202900223,г. Кокжиек ул. Макетная 7,АО «Банк Меридиан»,MRDNKZ03,KZ300000000000000002
DOC-301,Договор стр. 8,ТОО «Таза Бетон Проект»,260303900333,г. Жанакала ул. Форматная 18,АО «Банк Контур»,KNTRKZ04,KZ400000000000000003
DOC-302,Акт стр. 5,ТОО Таза Бетон Проект,260303900333,г. Жанакала ул. Форматная 18,АО «Банк Контур»,KNTRKZ04,KZ400000000000000003
DOC-303,Счёт стр. 1,ТОО «Таза Бетон Проект»,260303900333,г. Жанакала ул. Форматная 18,АО «Банк Контур»,KNTRKZ04,KZ400000000000000003
DOC-401,Договор стр. 11,ТОО «Северный Луч Монтаж»,260404900444,г. Нурдала ул. Синтетическая 21,АО «Банк Импульс»,IMPLKZ05,KZ500000000000000004
DOC-402,Акт стр. 6,ТОО Северный Луч Монтаж,260404900444,г. Нурдала ул. Синтетическая 21,АО «Банк Импульс»,IMPLKZ05,KZ500000000000000004
DOC-403,Счёт стр. 1,ТОО «Северный Луч Монтаж»,260404900444,г. Нурдала ул. Синтетическая 21,АО «Банк Импульс»,IMPLKZ05,KZ500000000000000004
DOC-501,Договор стр. 10,ТОО «Qadam Energo Test»,260505900555,г. Армантау ул. Демонстрационная 5,АО «Банк Параллель»,PRLLKZ06,KZ600000000000000005
DOC-502,Акт стр. 7,TOO Qadam Energo Test,260505900555,г. Армантау ул. Демонстрационная 5,АО «Банк Параллель»,PRLLKZ06,KZ600000000000000005
DOC-503,Счёт стр. 1,ТОО «Qadam Energo Test»,260505900555,г. Армантау ул. Демонстрационная 5,АО «Банк Параллель»,PRLLKZ06,KZ600000000000000005
DOC-601,Договор стр. 6,ТОО «Кварц Строй Альфа»,260606900666,г. Технополис ул. Условная 3,АО «Банк Спектр»,SPCTKZ07,KZ700000000000000006
DOC-602,Акт стр. 2,ТОО Кварц Строй Альфа,260606900666,г. Технополис ул. Условная 3,АО «Банк Спектр»,SPCTKZ07,KZ700000000000000006
DOC-701,Договор стр. 6,ТОО «Кварц Строй Альянс»,260707900777,г. Технополис ул. Условная 30,АО «Банк Спектр»,SPCTKZ07,KZ700000000000000007
DOC-702,Акт стр. 2,ТОО Кварц Строй Альянс,260707900777,г. Технополис ул. Условная 30,АО «Банк Спектр»,SPCTKZ07,KZ700000000000000007
