document_id,position_id,page_or_sheet,work_description,unit,quantity,unit_price,norm_ref
EST-01,1,Лист 1,Прокладка силового кабеля в лотке,м,120,1850,EL-CABLE-POWER
EST-01,2,Лист 1,Монтаж оптического кабеля внутри здания,м,300,920,EL-CABLE-OPTIC
EST-01,3,Лист 1,Устройство бетонной стяжки пола,м2,240,4100,FIN-SCREED
EST-01,4,Лист 1,Окраска металлических конструкций,м2,180,2350,FIN-PAINT-METAL
EST-01,5,Лист 2,Монтаж стальных радиаторов отопления,шт,24,38500,HVAC-RADIATOR
EST-01,6,Лист 2,Установка светодиодных светильников,шт,48,12700,EL-LIGHT
EST-01,7,Лист 2,Кладка перегородок из газоблока,м2,310,7800,STR-WALL-GAS
EST-01,8,Лист 2,Гидроизоляция фундамента рулонным материалом,м2,460,3650,STR-WATERPROOF
EST-01,9,Лист 3,Монтаж воздуховодов прямоугольного сечения,м2,215,6900,HVAC-DUCT
EST-01,10,Лист 3,Установка дверного блока металлического,шт,12,94000,FIN-DOOR-METAL
EST-01,11,Лист 3,Засыпка траншеи песком,м3,85,5200,EARTH-SAND
EST-01,12,Лист 3,Прокладка труб холодного водоснабжения,м,190,4450,PL-WATER-COLD
EST-01,13,Лист 4,Монтаж пожарных извещателей,шт,36,16800,FIRE-DETECTOR
EST-01,14,Лист 4,Устройство щебёночного основания,м3,140,8900,ROAD-GRAVEL
EST-01,15,Лист 4,Установка бордюрного камня,м,260,6200,ROAD-CURB
EST-01,16,Лист 4,Монтаж распределительного щита,шт,4,215000,EL-PANEL
EST-01,17,Лист 5,Штукатурка внутренних стен,м2,780,2950,FIN-PLASTER
EST-01,18,Лист 5,Укладка керамической плитки на пол,м2,165,8400,FIN-TILE
EST-01,19,Лист 5,Монтаж ливневых водостоков,м,145,5100,ROOF-DRAIN
EST-01,20,Лист 5,Утепление кровли минераловатными плитами,м2,520,7300,ROOF-INSUL
EST-01,21,Лист 6,Разработка грунта экскаватором,м3,980,2450,EARTH-EXCAV
EST-01,22,Лист 6,Монтаж заземляющего контура,м,110,3750,EL-GROUND
EST-01,23,Лист 6,Установка вентиляционных решёток,шт,28,14800,HVAC-GRILLE
EST-01,24,Лист 6,Погрузка строительного мусора,м3,75,3300,LOG-WASTE

